Date;AC.PA;ACA.PA;AI.PA;AIR.PA;BN.PA;BNP.PA;CA.PA;CAP.PA;CS.PA;DG.PA;FP.PA;GLE.PA;KER.PA;LI.PA;LR.PA;MC.PA;ML.PA;OR.PA;ORA.PA;PUB.PA;RI.PA;RNO.PA;SAF.PA;SAN.PA;SOLB.BR;SU.PA;SW.PA;UG.PA;VIE.PA;VIV.PA
2010-01-04;868105.0;5879617.0;839670.0;2496013.0;3685834.0;2334481.0;1659399.0;1115411.0;6110711.0;1881645.0;5255369.0;1825303.0;406709.0;731360.0;404821.0;2388176.0;1380190.0;831369.0;6426321.0;669834.0;384099.0;3178864.0;362251.0;6099206.0;396050.0;3656756.0;1067418.0;2081839.0;2871222.0;5081848.0
2010-01-05;1864574.0;6928587.0;1465477.0;2700340.0;1947279.0;3158216.0;4031419.0;2231636.0;7390494.0;1404291.0;9758572.0;2649565.0;301136.0;596390.0;236200.0;863565.0;1523034.0;860446.0;5699622.0;1368640.0;629204.0;2444195.0;2373924.0;2773347.0;278062.0;3665156.0;1487612.0;1942511.0;3571464.0;7971009.0
2010-01-06;3764554.0;5290631.0;2179169.0;3993940.0;1524936.0;1773871.0;3717000.0;3497666.0;5059701.0;3218732.0;4721098.0;3437614.0;321791.0;938098.0;932786.0;867681.0;1383936.0;1462744.0;11488328.0;1070380.0;1430154.0;4955904.0;1461508.0;2623904.0;140492.0;1688460.0;1190899.0;6759012.0;4590526.0;3481698.0
2010-01-07;1365276.0;5328586.0;1834564.0;4633114.0;3877964.0;6037338.0;2221203.0;2535546.0;6003474.0;2716856.0;4265108.0;2757126.0;630160.0;583242.0;346308.0;1704200.0;1473707.0;1163340.0;16110580.0;1108118.0;1185508.0;2381513.0;1284086.0;2776263.0;587629.0;3723944.0;1564400.0;6877388.0;4553388.0;6902272.0
2010-01-08;1108050.0;7160295.0;840778.0;2289556.0;2209968.0;4284507.0;1829339.0;1310799.0;7242533.0;2178841.0;4626382.0;3663566.0;580420.0;269488.0;395800.0;1277014.0;777339.0;698580.0;9363069.0;326574.0;813818.0;2630329.0;1015354.0;2659970.0;253349.0;2191678.0;331861.0;2670919.0;5492414.0;6389823.0
2010-01-11;1979136.0;4309724.0;730337.0;2884240.0;1449641.0;2939199.0;2749736.0;929600.0;8100306.0;2337242.0;5020707.0;1902940.0;515638.0;231524.0;228260.0;942575.0;1301731.0;421561.0;9106764.0;274005.0;587409.0;2122506.0;1140249.0;2376580.0;366030.0;1563780.0;468574.0;3378088.0;2263472.0;3739942.0
2010-01-12;1681042.0;6268642.0;987522.0;5160997.0;2009036.0;2546033.0;2278791.0;1238299.0;6690481.0;1707080.0;6145662.0;2160023.0;453440.0;241369.0;475542.0;1348479.0;881444.0;951784.0;7987409.0;427835.0;998915.0;2621189.0;541493.0;3279144.0;390462.0;1907928.0;524764.0;2292061.0;2560377.0;5340208.0
2010-01-13;1124199.0;5830702.0;1683624.0;2468904.0;2451817.0;3264279.0;3735571.0;866634.0;5096852.0;1391159.0;6540221.0;6562026.0;517268.0;260992.0;409277.0;918412.0;588299.0;833518.0;7343169.0;283804.0;694726.0;2505347.0;673854.0;2707717.0;247399.0;2327262.0;477201.0;1793168.0;1615453.0;4872377.0
2010-01-14;1167684.0;4973271.0;1669455.0;5990022.0;1575785.0;2450147.0;2306938.0;2068709.0;4888978.0;1787713.0;6024440.0;2302255.0;401921.0;253276.0;402788.0;665656.0;1426140.0;486577.0;5713687.0;408163.0;807168.0;2107135.0;671724.0;3095804.0;148897.0;1544898.0;541656.0;2053139.0;2607907.0;3929283.0
2010-01-15;1360741.0;9034181.0;1459578.0;3583970.0;2238685.0;4782611.0;7407095.0;1910902.0;8096155.0;1937102.0;10393180.0;4518370.0;319457.0;328957.0;658128.0;1592869.0;1054484.0;1085683.0;9979612.0;538725.0;981678.0;2373627.0;780356.0;4757559.0;257389.0;2358922.0;320871.0;3780097.0;1618315.0;6716848.0
